Event - Classics,Likelihood
Double DNF,Uncommon
Safety Car Deployed,Common
VSC Deployment,Common
Red Flag,Uncommon
Crash first lap (or change to pile up),Uncommon
Two teammates collide,Rare
Driver given black and white flag,Rare
Penalty after race,Rare
Double stacked pit stop,Uncommon
Unsafe release from pits,Uncommon
Additional penalty for failing to properly serve first penalty,Rare
Animal on the track,Rare
Car on fire,Rare
Max DNF,Rare
Driver replaced mid season,Uncommon
Driver wins from P10 or worse,Rare
Tire falls off car,Rare
Home race victory,Uncommon
Race finish with fewer than 15 cars,Rare
Audi or Cadillac,Uncommon
Isaak outqualifies Max,Rare
Radio message featuring swearing (bleeped),Common
Driver blames another driver for contact,Common
Midfield podium,Uncommon
Last minute reserve sub,Rare
Missed pit entry due to miscommunication,Uncommon
Marshals on during race,Common
Puncture due to debris,Common
Pit stop longer than 5 seconds,Common
Pit stop under 2,Rare
Car safely resumes race after going off track,Uncommon
"""Plan C"" radio mention",Common
Williams podium,Rare
Checkered flag gets curled up,Common
Checkered flag waived by professional athlete,Uncommon
Checkered flag waived by actor/actress,Common
Checkered flag waived by musical artist,Common
Crew member falls during pit stop,Rare
Restart Proceedure (crash before turn 1),Rare
Radio failure,Rare
Team orders when in points,Uncommon
"Carlos calls his race a ""smooth operation""",Common
"""We are checking""",Common
Toto smashing headset,Rare
New GR meme,Uncommon
New Valterri bare behind photo,Common
New staring out on a hill post DNF photo,Rare
Alex debuts a new hair color,Uncommon
Kim K sighting,Rare
Commentators make innuendos,Common
Fred sighting at other team's party,Rare
Driver cries on race broadcast (waterworks must be visible),Rare
Verstappen baby feature,Common
Driver flips off another driver,Rare
Gunther Steiner cameo,Rare
Driver stops at wrong pit box,Rare
Weather delay,Uncommon
Driver clips a bollard,Rare
